x,y,z
-0.364,-0.418,0.6
-0.364,0.418,0.6
-0.363,-0.212,2.0
-0.363,0.212,2.0
-0.356,-0.365,1.0
-0.356,0.365,1.0
-0.353,-0.0,3.0
-0.352,-0.01,3.0
-0.352,0.01,3.0
-0.351,-0.395,0.8
-0.351,-0.02,3.0
-0.351,0.02,3.0
-0.351,0.395,0.8
-0.35,-0.027,3.0
-0.35,0.027,3.0
-0.346,-0.044,3.0
-0.346,0.044,3.0
-0.341,-0.057,3.0
-0.341,0.057,3.0
-0.34,-0.061,3.0
-0.34,0.061,3.0
-0.339,-0.063,3.0
-0.339,0.063,3.0
-0.336,-0.068,3.0
-0.336,0.068,3.0
-0.335,-0.42,0.6
-0.335,-0.221,2.0
-0.335,0.221,2.0
-0.335,0.42,0.6
-0.333,-0.074,3.0
-0.333,0.074,3.0
-0.331,-0.078,3.0
-0.331,0.078,3.0
-0.328,-0.368,1.0
-0.328,0.368,1.0
-0.326,-0.085,3.0
-0.326,0.085,3.0
-0.325,-0.224,2.0
-0.325,0.224,2.0
-0.323,-0.398,0.8
-0.323,0.398,0.8
-0.314,-0.101,3.0
-0.314,0.101,3.0
-0.312,-0.228,2.0
-0.312,0.228,2.0
-0.311,-0.421,0.6
-0.311,0.421,0.6
-0.31,-0.106,3.0
-0.31,0.106,3.0
-0.303,-0.369,1.0
-0.303,-0.114,3.0
-0.303,0.114,3.0
-0.303,0.369,1.0
-0.298,-0.399,0.8
-0.298,0.399,0.8
-0.296,-0.232,2.0
-0.296,0.232,2.0
-0.294,-0.122,3.0
-0.294,0.122,3.0
-0.287,-0.127,3.0
-0.287,0.127,3.0
-0.285,-0.235,2.0
-0.285,0.235,2.0
-0.281,-0.132,3.0
-0.281,0.132,3.0
-0.276,-0.422,0.6
-0.276,0.422,0.6
-0.274,-0.137,3.0
-0.274,0.137,3.0
-0.271,-0.139,3.0
-0.271,0.139,3.0
-0.269,-0.239,2.0
-0.269,0.239,2.0
-0.268,-0.369,1.0
-0.268,0.369,1.0
-0.263,-0.399,0.8
-0.263,0.399,0.8
-0.26,-0.24,2.0
-0.26,0.24,2.0
-0.256,-0.24,2.0
-0.256,0.24,2.0
-0.255,-0.148,3.0
-0.255,0.148,3.0
-0.253,-0.241,2.0
-0.253,0.241,2.0
-0.248,-0.475,0.2
-0.248,-0.447,0.4
-0.248,0.447,0.4
-0.248,0.475,0.2
-0.246,-0.152,3.0
-0.246,0.152,3.0
-0.242,-0.154,3.0
-0.242,0.154,3.0
-0.241,-0.422,0.6
-0.241,0.422,0.6
-0.234,-0.369,1.0
-0.234,-0.243,2.0
-0.234,0.243,2.0
-0.234,0.369,1.0
-0.229,-0.399,0.8
-0.229,0.399,0.8
-0.225,-0.16,3.0
-0.225,0.16,3.0
-0.224,-0.014,4.0
-0.224,-0.007,4.0
-0.224,-0.0,4.0
-0.224,0.007,4.0
-0.224,0.014,4.0
-0.223,-0.022,4.0
-0.223,0.022,4.0
-0.221,-0.029,4.0
-0.221,0.029,4.0
-0.219,-0.162,3.0
-0.219,-0.036,4.0
-0.219,0.036,4.0
-0.219,0.162,3.0
-0.218,-0.421,0.6
-0.218,0.421,0.6
-0.217,-0.042,4.0
-0.217,0.042,4.0
-0.216,-0.244,2.0
-0.216,0.244,2.0
-0.211,-0.369,1.0
-0.211,0.369,1.0
-0.21,-0.056,4.0
-0.21,0.056,4.0
-0.208,-0.06,4.0
-0.208,0.06,4.0
-0.206,-0.399,0.8
-0.206,-0.063,4.0
-0.206,0.063,4.0
-0.206,0.399,0.8
-0.202,-0.42,0.6
-0.202,0.42,0.6
-0.199,-0.071,4.0
-0.199,0.071,4.0
-0.198,-0.166,3.0
-0.198,0.166,3.0
-0.195,-0.368,1.0
-0.195,0.368,1.0
-0.194,-0.076,4.0
-0.194,0.076,4.0
-0.19,-0.398,0.8
-0.19,-0.167,3.0
-0.19,0.167,3.0
-0.19,0.398,0.8
-0.187,-0.419,0.6
-0.187,0.419,0.6
-0.183,-0.085,4.0
-0.183,0.085,4.0
-0.18,-0.367,1.0
-0.18,-0.088,4.0
-0.18,0.088,4.0
-0.18,0.367,1.0
-0.179,-0.245,2.0
-0.179,0.245,2.0
-0.176,-0.419,0.6
-0.176,-0.168,3.0
-0.176,0.168,3.0
-0.176,0.419,0.6
-0.175,-0.397,0.8
-0.175,0.397,0.8
-0.168,-0.366,1.0
-0.168,0.366,1.0
-0.166,-0.095,4.0
-0.166,0.095,4.0
-0.163,-0.396,0.8
-0.163,0.396,0.8
-0.162,-0.097,4.0
-0.162,0.097,4.0
-0.159,-0.168,3.0
-0.159,-0.098,4.0
-0.159,0.098,4.0
-0.159,0.168,3.0
-0.156,-0.417,0.6
-0.156,0.417,0.6
-0.151,-0.101,4.0
-0.151,0.101,4.0
-0.148,-0.364,1.0
-0.148,0.364,1.0
-0.146,-0.243,2.0
-0.146,-0.102,4.0
-0.146,0.102,4.0
-0.146,0.243,2.0
-0.143,-0.394,0.8
-0.143,-0.167,3.0
-0.143,0.167,3.0
-0.143,0.394,0.8
-0.142,-0.415,0.6
-0.142,0.415,0.6
-0.139,-0.0,5.0
-0.138,-0.009,5.0
-0.138,0.009,5.0
-0.137,-0.015,5.0
-0.137,0.015,5.0
-0.135,-0.445,0.4
-0.135,-0.362,1.0
-0.135,0.362,1.0
-0.135,0.445,0.4
-0.134,-0.243,2.0
-0.134,-0.02,5.0
-0.134,0.02,5.0
-0.134,0.243,2.0
-0.132,-0.025,5.0
